KB911090.1_252 KB911102.1_43 KB911124.1_93 KB911102.1_2 KB911135.1_105 KB911146.1_95 KB911146.1_40 KB911090.1_257 KB911094.1_44 KB911090.1_290 KB911091.1_169 
KB911169.1_36 KB911090.1_126 KB911135.1_90 KB911168.1_45 KB911113.1_48 KB911090.1_269 KB911168.1_49 KB911093.1_9 KB911090.1_157 KB911135.1_102 
KB911093.1_59 KB911106.1_13 KB911090.1_278 KB911124.1_64 KB911102.1_134 KB911090.1_177 
KB911091.1_70 KB911091.1_69 KB911093.1_53 KB911124.1_65 KB911091.1_71 KB911168.1_60 
KB911108.1_18 KB911091.1_140 KB911168.1_67 KB911090.1_5 KB911116.1_4 KB911114.1_7 
KB911091.1_44 KB911168.1_46 KB911099.1_15 KB911091.1_93 KB911092.1_16 
KB911168.1_25 KB911093.1_65 KB911093.1_66 KB911090.1_178 KB911129.1_4 
KB911098.1_9 KB911100.1_7 KB911098.1_10 KB911100.1_6 KB911135.1_54 
KB911096.1_9 KB911102.1_30 KB911098.1_7 KB911100.1_9 KB911157.1_32 
KB911090.1_55 KB911090.1_152 KB911090.1_56 KB911090.1_54 
KB911113.1_143 KB911124.1_100 KB911146.1_52 KB911113.1_141 
KB911092.1_45 KB911091.1_143 KB911091.1_116 
KB911168.1_11 KB911091.1_81 KB911121.1_7 
KB911118.1_4 KB911169.1_40 KB911092.1_57 
KB911102.1_120 KB911096.1_13 KB911106.1_4 
KB911090.1_26 KB911090.1_20 KB911121.1_8 
KB911135.1_10 KB911135.1_12 KB911090.1_8 
KB911124.1_36 KB911090.1_13 KB911091.1_19 
KB911098.1_23 KB911168.1_81 KB911090.1_47 
KB911098.1_3 KB911100.1_13 KB911157.1_72 
KB911090.1_158 KB911169.1_31 KB911090.1_117 
KB911135.1_20 KB911146.1_17 KB911157.1_15 
KB911098.1_15 KB911100.1_1 KB911150.1_2 
KB911113.1_115 KB911091.1_96 KB911146.1_64 
KB911102.1_76 KB911098.1_6 KB911100.1_10 
KB911090.1_287 KB911128.1_6 KB911168.1_65 
KB911092.1_72 KB911169.1_22 KB911090.1_228 
KB911104.1_21 KB911093.1_48 KB911102.1_163 
KB911124.1_45 KB911098.1_13 KB911100.1_3 
KB911146.1_16 KB911092.1_36 KB911091.1_152 
KB911108.1_23 KB911100.1_17 KB911107.1_21 
KB911102.1_35 KB911091.1_138 KB911109.1_10 
KB911108.1_14 KB911090.1_255 KB911113.1_137 
KB911135.1_87 KB911168.1_61 KB911101.1_38 
KB911101.1_35 KB911101.1_34 KB911101.1_36 
KB911098.1_27 KB911168.1_77 
KB911100.1_19 KB911107.1_19 
KB911168.1_26 KB911102.1_9 
KB911098.1_24 KB911168.1_80 
KB911146.1_55 KB911091.1_88 
KB911098.1_11 KB911100.1_5 
KB911098.1_18 KB911168.1_86 
KB911135.1_72 KB911090.1_138 
KB911111.1_11 KB911168.1_4 
KB911094.1_28 KB911146.1_1 
KB911113.1_54 KB911090.1_141 
KB911095.1_54 KB911146.1_36 
KB911157.1_49 KB911157.1_50 
KB911090.1_42 KB911127.1_2 
KB911090.1_142 KB911113.1_53 
KB911100.1_23 KB911107.1_15 
KB911157.1_81 KB911090.1_179 
KB911091.1_91 KB911090.1_131 
KB911113.1_64 KB911099.1_9 
KB911124.1_6 KB911124.1_5 
KB911091.1_150 KB911104.1_28 
KB911100.1_21 KB911107.1_17 
KB911098.1_8 KB911100.1_8 
KB911113.1_7 KB911102.1_139 
KB911093.1_36 KB911093.1_35 
KB911146.1_77 KB911111.1_1 
KB911111.1_9 KB911091.1_120 
KB911157.1_53 KB911090.1_188 
KB911109.1_16 KB911095.1_5 
KB911168.1_24 KB911124.1_46 
KB911101.1_28 KB911169.1_24 
KB911098.1_25 KB911168.1_79 
KB911097.1_36 KB911150.1_1 
KB911090.1_275 KB911090.1_193 
KB911100.1_20 KB911107.1_18 
KB911098.1_26 KB911168.1_78 
KB911090.1_248 KB911090.1_169 
KB911157.1_8 KB911146.1_54 
KB911146.1_42 KB911146.1_41 
KB911092.1_14 KB911102.1_37 
KB911102.1_110 KB911091.1_48 
KB911112.1_7 KB911112.1_13 
KB911091.1_45 KB911169.1_11 
KB911111.1_13 KB911168.1_2 
KB911125.1_2 KB911092.1_24 
KB911100.1_31 KB911107.1_7 
KB911102.1_180 KB911093.1_67 
KB911135.1_38 KB911135.1_39 
KB911135.1_48 KB911095.1_19 
KB911100.1_27 KB911107.1_11 
KB911095.1_25 KB911102.1_138 
KB911101.1_27 KB911090.1_19 
KB911113.1_70 KB911103.1_12 
KB911098.1_22 KB911168.1_82 
KB911113.1_138 KB911139.1_2 
KB911157.1_75 KB911126.1_6 
KB911100.1_29 KB911107.1_9 
KB911093.1_7 KB911093.1_5 
KB911124.1_67 KB911114.1_10 
KB911100.1_36 KB911107.1_2 
KB911098.1_30 KB911168.1_74 
KB911090.1_115 KB911127.1_4 
KB911098.1_5 KB911100.1_11 
KB911103.1_6 KB911103.1_5 
KB911113.1_68 KB911113.1_67 
KB911157.1_47 KB911157.1_57 
KB911100.1_24 KB911107.1_14 
KB911098.1_1 KB911100.1_15 
KB911098.1_19 KB911168.1_85 
