HF539850.1_5 HF539773.1_2 HF539942.1_19 HF540265.1_2 HF539830.1_2 HF539358.1_2 HF540188.1_7 HF539708.1_16 HF539564.1_2 HF539925.1_2 HF539374.1_2 HF540357.1_6 HF540272.1_8 HF539564.1_8 HF540172.1_15 HF539931.1_5 HF539638.1_22 HF539564.1_3 HF539668.1_3 HF540188.1_3 HF539364.1_5 HF540097.1_3 HF540020.1_14 HF540172.1_2 HF540020.1_9 HF540415.1_2 HF539328.1_11 HF539760.1_4 HF539328.1_8 HF539986.1_8 HF539878.1_1 HF540272.1_10 HF540436.1_12 HF539478.1_1 HF539882.1_8 HF540269.1_2 HF540020.1_15 HF539439.1_6 HF539986.1_6 HF540020.1_16 HF540432.1_7 HF540084.1_14 HF539732.1_4 HF539328.1_12 HF539328.1_19 HF539786.1_1 HF539416.1_7 HF540430.1_2 HF539755.1_8 HF539358.1_3 HF539563.1_1 HF539702.1_1 HF539931.1_1 HF540269.1_1 HF539773.1_3 HF539490.1_1 HF539636.1_5 HF539731.1_2 HF539732.1_2 HF539711.1_1 HF539734.1_2 HF539480.1_1 HF539648.1_1 HF539572.1_3 HF539328.1_16 HF540104.1_3 HF539832.1_1 HF540230.1_1 HF540433.1_9 HF539576.1_1 HF539522.1_1 HF540084.1_12 HF540423.1_1 HF539450.1_1 HF540439.1_9 HF540376.1_3 HF539755.1_1 HF540356.1_1 HF539828.1_1 HF540024.1_2 HF539467.1_1 HF540378.1_1 HF539374.1_3 HF540149.1_28 HF539802.1_2 HF539328.1_17 HF539891.1_1 HF540461.1_5 HF540014.1_1 HF540404.1_1 HF539755.1_9 HF539709.1_1 HF539905.1_1 HF540069.1_1 HF539563.1_7 HF540337.1_1 HF539966.1_1 HF539910.1_1 HF540270.1_2 HF539639.1_6 HF539520.1_1 HF539885.1_1 HF539702.1_2 HF539648.1_3 HF539721.1_1 HF540132.1_1 HF540307.1_1 HF540129.1_2 
HF539943.1_14 HF539953.1_2 HF540034.1_2 HF539792.1_2 HF539638.1_2 HF539726.1_3 HF540084.1_24 HF539413.1_2 HF539627.1_1 HF539335.1_2 HF540174.1_9 HF539438.1_1 HF539518.1_5 HF540299.1_7 HF540256.1_4 HF539401.1_1 HF539859.1_7 HF539892.1_2 HF539668.1_4 HF539943.1_7 HF540166.1_1 HF539983.1_4 HF540188.1_12 HF540291.1_1 HF540454.1_3 HF539924.1_1 HF539746.1_1 HF540173.1_1 
HF539979.1_1 HF539638.1_27 HF539380.1_1 HF539684.1_2 HF539497.1_2 HF539502.1_1 HF539493.1_3 HF539606.1_4 HF539683.1_1 HF539864.1_1 HF539488.1_1 HF540148.1_1 HF539976.1_1 HF540014.1_2 HF539834.1_1 HF539478.1_14 HF539740.1_1 HF540344.1_1 HF539604.1_1 HF539957.1_4 HF539497.1_1 HF540288.1_1 HF540331.1_1 HF539569.1_1 
HF539638.1_4 HF539999.1_1 HF540357.1_4 HF539624.1_7 HF539999.1_2 HF540228.1_6 HF540412.1_4 HF540449.1_6 HF539942.1_27 HF539873.1_4 HF539416.1_11 HF540181.1_3 HF539921.1_2 HF540246.1_1 HF540251.1_9 HF539641.1_4 HF539624.1_6 HF539911.1_1 HF540228.1_7 HF539752.1_2 HF540436.1_5 HF539506.1_1 
HF539756.1_2 HF540466.1_2 HF540189.1_2 HF539551.1_1 HF540190.1_1 HF540190.1_2 HF540140.1_1 HF540466.1_1 HF539756.1_1 HF540218.1_1 HF539809.1_1 HF539764.1_1 HF539507.1_1 HF539570.1_1 
HF539557.1_2 HF540020.1_5 HF540020.1_23 HF539943.1_9 HF539726.1_2 HF540020.1_13 HF539931.1_4 HF540232.1_2 HF540020.1_17 HF540314.1_1 HF539739.1_1 HF539815.1_1 HF540357.1_2 
HF539931.1_3 HF540020.1_4 HF539943.1_10 HF539522.1_8 HF540172.1_14 HF539726.1_1 HF539557.1_1 HF540232.1_1 HF540206.1_1 HF540020.1_24 HF540070.1_1 HF540135.1_1 
HF539414.1_2 HF540442.1_5 HF539638.1_3 HF540458.1_1 HF539896.1_1 HF539518.1_6 HF540320.1_1 HF539539.1_1 HF539627.1_2 HF539892.1_1 
HF539600.1_1 HF539577.1_2 HF539907.1_1 HF539947.1_2 HF539749.1_2 HF539947.1_1 HF539396.1_1 HF539829.1_1 
HF540099.1_2 HF539979.1_2 HF539498.1_1 HF540467.1_3 HF540437.1_1 HF539384.1_1 HF539979.1_3 
HF540125.1_1 HF540188.1_2 HF539335.1_1 HF539953.1_1 HF539347.1_1 HF540243.1_1 HF539995.1_1 
HF540324.1_2 HF539328.1_14 HF539433.1_18 HF540232.1_3 HF540325.1_7 HF539701.1_1 
HF540174.1_2 HF539401.1_8 HF540461.1_4 HF539835.1_2 HF539638.1_11 HF539490.1_2 
HF539361.1_2 HF540236.1_1 HF539708.1_9 HF540305.1_2 HF540295.1_4 HF539726.1_5 
HF539828.1_4 HF539474.1_1 HF540432.1_9 HF539662.1_1 HF540306.1_2 HF540013.1_2 
HF539638.1_31 HF539708.1_4 HF540152.1_1 HF540325.1_12 HF539636.1_4 
HF540025.1_2 HF539776.1_1 HF540417.1_13 HF540025.1_1 HF539968.1_7 
HF540322.1_2 HF539929.1_12 HF539929.1_11 HF539549.1_1 HF539682.1_9 
HF539518.1_3 HF540449.1_10 HF539919.1_2 HF540258.1_3 HF539830.1_1 
HF539349.1_1 HF540020.1_1 HF540261.1_7 HF539489.1_1 HF540051.1_3 
HF539364.1_4 HF540252.1_2 HF540251.1_19 HF540376.1_2 
HF539828.1_3 HF539328.1_2 HF539518.1_7 HF539690.1_1 
HF540464.1_6 HF540328.1_3 HF540305.1_4 HF540064.1_7 
HF540269.1_3 HF539522.1_3 HF539561.1_11 HF540168.1_2 
HF539978.1_1 HF539901.1_1 HF540444.1_11 HF539512.1_1 
HF539688.1_2 HF539979.1_4 HF539353.1_3 HF540099.1_1 
HF540122.1_1 HF540195.1_1 HF539950.1_1 HF540195.1_2 
HF540146.1_3 HF539880.1_9 HF540084.1_3 HF539575.1_1 
HF539805.1_1 HF540080.1_3 HF539468.1_2 HF539568.1_1 
HF539363.1_1 HF539973.1_6 HF539943.1_12 HF540295.1_16 
HF539953.1_4 HF539773.1_6 HF539953.1_3 HF540184.1_2 
HF539584.1_3 HF540261.1_2 HF539561.1_10 HF539639.1_1 
HF540058.1_4 HF539697.1_1 HF539742.1_3 HF539935.1_7 
HF540154.1_2 HF539989.1_2 HF540278.1_1 HF540209.1_1 
HF540235.1_1 HF540172.1_1 HF539638.1_25 
HF539943.1_8 HF539859.1_6 HF540104.1_1 
HF540084.1_30 HF540092.1_2 HF539401.1_3 
HF539638.1_26 HF539416.1_4 HF540327.1_4 
HF540204.1_2 HF539755.1_4 HF540251.1_3 
HF540272.1_7 HF539563.1_2 HF539850.1_6 
HF539963.1_3 HF540399.1_3 HF540449.1_12 
HF539931.1_7 HF540461.1_2 HF539401.1_10 
HF540439.1_6 HF540084.1_18 HF540439.1_5 
HF540325.1_9 HF539401.1_9 HF540461.1_3 
HF539896.1_4 HF540122.1_2 HF540084.1_36 
HF540032.1_2 HF539624.1_1 HF539687.1_1 
HF540228.1_4 HF540228.1_9 HF540412.1_6 
HF540228.1_10 HF540228.1_3 HF540412.1_7 
HF540455.1_1 HF539889.1_3 HF539575.1_4 
HF540188.1_6 HF540261.1_6 HF539970.1_6 
HF540228.1_11 HF540228.1_2 HF540412.1_8 
HF539929.1_7 HF539755.1_2 HF540415.1_9 
HF540325.1_16 HF539896.1_2 HF540146.1_1 
HF539867.1_6 HF539867.1_5 HF540256.1_6 
HF540084.1_35 HF540122.1_3 HF539896.1_5 
HF539968.1_2 HF539759.1_4 HF539968.1_5 
HF540228.1_5 HF540228.1_8 HF540412.1_5 
HF539712.1_1 HF540100.1_1 HF539912.1_2 
HF540326.1_1 HF539479.1_1 HF539482.1_1 
HF539353.1_1 HF540299.1_6 HF540058.1_1 
HF540228.1_12 HF540228.1_1 HF540412.1_9 
HF540174.1_12 HF540272.1_1 
HF540257.1_6 HF539564.1_1 
HF540415.1_3 HF539752.1_4 
HF540097.1_2 HF539698.1_9 
HF539439.1_1 HF540158.1_3 
HF540310.1_1 HF539417.1_4 
HF539401.1_2 HF540092.1_3 
HF540149.1_24 HF539925.1_25 
HF540226.1_3 HF540172.1_21 
HF539638.1_29 HF540272.1_3 
HF540436.1_1 HF539750.1_11 
HF539624.1_8 HF539999.1_3 
HF539328.1_7 HF540122.1_7 
HF540084.1_27 HF539417.1_5 
HF539451.1_8 HF539379.1_1 
HF539850.1_4 HF539942.1_20 
HF539638.1_14 HF540020.1_11 
HF539388.1_6 HF540140.1_3 
HF540256.1_1 HF539954.1_1 
HF540433.1_13 HF539564.1_4 
HF540186.1_1 HF539572.1_1 
HF540212.1_1 HF540013.1_1 
HF539523.1_2 HF540251.1_1 
HF539687.1_5 HF539624.1_5 
HF540010.1_2 HF539814.1_3 
HF540160.1_1 HF540210.1_2 
HF539925.1_24 HF540149.1_25 
HF539795.1_7 HF539750.1_1 
HF539980.1_3 HF539703.1_2 
HF539838.1_4 HF540330.1_1 
HF539986.1_3 HF539986.1_5 
HF539637.1_2 HF539893.1_8 
HF540336.1_5 HF540311.1_11 
HF540436.1_3 HF539450.1_5 
HF540272.1_2 HF539842.1_1 
HF540145.1_6 HF539414.1_1 
HF539407.1_6 HF539728.1_2 
HF539771.1_17 HF539771.1_2 
HF539373.1_7 HF540078.1_2 
HF540455.1_9 HF540241.1_4 
HF539613.1_2 HF539546.1_27 
HF540415.1_4 HF540212.1_2 
HF540385.1_1 HF540078.1_5 
HF539416.1_18 HF539399.1_4 
HF539484.1_2 HF539613.1_5 
HF539606.1_3 HF540409.1_1 
HF539663.1_1 HF540313.1_1 
HF539336.1_9 HF540452.1_19 
HF540325.1_2 HF539925.1_10 
HF540297.1_2 HF540189.1_1 
HF540124.1_1 HF540024.1_1 
HF540199.1_4 HF539638.1_30 
HF540080.1_5 HF539433.1_8 
HF539469.1_1 HF540443.1_1 
HF539683.1_3 HF540084.1_39 
HF539552.1_2 HF539451.1_41 
HF539683.1_2 HF540265.1_3 
HF540295.1_14 HF540086.1_11 
HF539573.1_1 HF539694.1_1 
HF539505.1_1 HF539455.1_1 
HF539774.1_2 HF539921.1_4 
HF540429.1_1 HF540103.1_1 
HF539942.1_3 HF539984.1_3 
HF540052.1_2 HF540064.1_2 
HF539546.1_7 HF540363.1_1 
HF539345.1_3 HF540133.1_1 
HF539336.1_7 HF540452.1_17 
HF539990.1_2 HF540450.1_5 
HF539543.1_2 HF540078.1_7 
HF540043.1_2 HF539742.1_2 
HF539379.1_4 HF539636.1_3 
HF539943.1_13 HF540412.1_2 
HF540313.1_2 HF540315.1_1 
HF540172.1_8 HF539986.1_11 
HF539624.1_4 HF539687.1_4 
HF540001.1_1 HF539751.1_1 
HF539968.1_9 HF539566.1_16 
HF540416.1_16 HF540297.1_9 
HF539451.1_33 HF539530.1_1 
HF539328.1_6 HF539743.1_2 
HF539686.1_1 HF539939.1_2 
HF539417.1_16 HF539433.1_9 
HF539684.1_1 HF539828.1_2 
HF539716.1_1 HF539716.1_4 
HF540097.1_1 HF540459.1_6 
HF539704.1_1 HF539758.1_1 
HF539678.1_16 HF540092.1_4 
HF539835.1_3 HF539882.1_9 
HF540452.1_16 HF539336.1_6 
HF539771.1_8 HF540226.1_8 
HF540272.1_5 HF539935.1_4 
HF539882.1_2 HF539407.1_9 
HF540416.1_12 HF539880.1_1 
HF540084.1_32 HF539896.1_9 
HF540452.1_38 HF540452.1_8 
HF539444.1_2 HF540129.1_1 
HF540334.1_1 HF539656.1_1 
HF540448.1_9 HF539889.1_6 
HF539766.1_1 HF539579.1_1 
HF540452.1_37 HF540452.1_9 
HF539678.1_2 HF540363.1_3 
HF539336.1_13 HF540452.1_23 
HF539990.1_4 HF540450.1_7 
HF539874.1_1 HF540450.1_4 
HF540328.1_2 HF540464.1_7 
HF540078.1_4 HF540092.1_5 
HF540021.1_1 HF539471.1_1 
HF539990.1_3 HF540450.1_6 
HF539405.1_1 HF539460.1_1 
HF539761.1_1 HF539956.1_3 
HF539750.1_9 HF539958.1_3 
HF540099.1_6 HF539451.1_27 
HF539678.1_21 HF539678.1_19 
HF540084.1_45 HF540064.1_9 
HF540149.1_26 HF539925.1_23 
HF539352.1_2 HF540336.1_6 
HF539750.1_5 HF539407.1_2 
HF539546.1_29 HF540389.1_2 
HF539749.1_3 HF540447.1_5 
HF539753.1_1 HF539393.1_1 
HF540247.1_1 HF540259.1_1 
HF539975.1_4 HF539453.1_1 
HF539598.1_1 HF540157.1_2 
HF539351.1_7 HF540457.1_18 
HF539577.1_4 HF539596.1_1 
HF540452.1_10 HF540452.1_36 
HF539339.1_1 HF540064.1_8 
HF539749.1_4 HF540447.1_4 
HF539336.1_11 HF540452.1_21 
HF540432.1_5 HF540350.1_1 
HF539555.1_1 HF540005.1_2 
HF540416.1_19 HF540297.1_6 
HF540452.1_15 HF540452.1_31 
HF540297.1_4 HF540416.1_23 
HF540321.1_1 HF540005.1_1 
HF540297.1_12 HF540416.1_14 
HF539749.1_5 HF540447.1_3 
HF540059.1_1 HF539444.1_12 
HF539896.1_14 HF540295.1_6 
HF540452.1_12 HF540452.1_34 
HF539602.1_1 HF540230.1_2 
HF539724.1_4 HF539546.1_6 
HF539336.1_5 HF540452.1_25 
HF539336.1_2 HF540452.1_28 
HF539624.1_9 HF539999.1_4 
HF539638.1_10 HF539406.1_2 
HF539869.1_1 HF539379.1_5 
HF539968.1_1 HF539633.1_1 
HF539336.1_4 HF540452.1_26 
HF539336.1_8 HF540452.1_18 
HF540340.1_6 HF539908.1_1 
HF540452.1_13 HF540452.1_33 
HF539336.1_3 HF540452.1_27 
HF540297.1_10 HF540416.1_15 
HF540297.1_8 HF540416.1_17 
HF539336.1_1 HF540452.1_29 
HF539571.1_1 HF540467.1_8 
HF540297.1_7 HF540416.1_18 
HF540297.1_5 HF540416.1_22 
HF539336.1_10 HF540452.1_20 
HF539336.1_12 HF540452.1_22 
HF539336.1_14 HF540452.1_24 
HF539624.1_3 HF539687.1_3 
HF539624.1_2 HF539687.1_2 
HF540452.1_11 HF540452.1_35 
HF540452.1_14 HF540452.1_32 
HF539943.1_17 
HF539681.1_1 
HF539610.1_6 
HF540020.1_19 
HF540048.1_5 
HF539388.1_7 
HF539429.1_3 
HF539835.1_1 
HF540340.1_33 
HF540145.1_5 
HF540020.1_18 
HF539638.1_12 
HF539678.1_27 
HF539450.1_6 
HF539351.1_10 
HF539388.1_3 
HF539605.1_2 
HF540084.1_29 
HF539673.1_2 
HF540293.1_3 
HF540400.1_5 
HF539930.1_1 
HF539373.1_9 
HF539896.1_11 
HF539678.1_12 
HF539509.1_3 
HF539328.1_3 
HF539698.1_4 
HF539510.1_2 
HF540188.1_4 
HF539636.1_1 
HF540174.1_10 
HF540020.1_12 
HF540257.1_2 
HF540299.1_8 
HF539752.1_7 
HF539726.1_4 
HF540439.1_2 
HF539546.1_9 
HF539605.1_1 
HF539389.1_1 
HF539649.1_2 
HF539680.1_6 
HF539942.1_16 
HF539542.1_13 
HF539351.1_2 
HF540188.1_11 
HF540268.1_1 
HF540454.1_2 
HF539417.1_22 
HF539520.1_8 
HF540417.1_1 
HF539867.1_4 
HF540227.1_4 
HF540084.1_21 
HF539446.1_2 
HF540232.1_7 
HF540174.1_4 
HF540086.1_13 
HF539771.1_1 
HF539943.1_15 
HF540200.1_3 
HF540462.1_4 
HF540048.1_3 
HF540086.1_14 
HF540200.1_4 
HF540415.1_6 
HF540002.1_2 
HF539401.1_5 
HF539451.1_36 
HF540084.1_43 
HF539838.1_3 
HF539663.1_2 
HF540058.1_5 
HF540443.1_2 
HF539678.1_8 
HF539546.1_18 
HF540149.1_27 
HF539891.1_7 
HF539584.1_2 
HF540149.1_18 
HF540077.1_1 
HF539626.1_8 
HF540179.1_5 
HF539983.1_1 
HF539678.1_5 
HF540457.1_16 
HF539708.1_3 
HF539528.1_2 
