NC_005071.1_1843 NC_005071.1_1040 NC_005071.1_921 NC_005071.1_1059 NC_005071.1_459 NC_005071.1_263 NC_005071.1_990 NC_005071.1_2408 NC_005071.1_269 NC_005071.1_2413 NC_005071.1_912 NC_005071.1_264 NC_005071.1_275 NC_005071.1_2410 NC_005071.1_265 NC_005071.1_267 NC_005071.1_911 NC_005071.1_915 NC_005071.1_2394 NC_005071.1_2411 NC_005071.1_2393 NC_005071.1_2395 NC_005071.1_2396 NC_005071.1_2398 NC_005071.1_2409 NC_005071.1_266 NC_005071.1_920 NC_005071.1_1048 NC_005071.1_2397 NC_005071.1_683 NC_005071.1_1103 NC_005071.1_1047 NC_005071.1_220 NC_005071.1_167 
NC_005071.1_1756 NC_005071.1_621 NC_005071.1_557 NC_005071.1_1530 NC_005071.1_2474 NC_005071.1_764 NC_005071.1_774 NC_005071.1_465 NC_005071.1_1837 NC_005071.1_2487 NC_005071.1_2514 NC_005071.1_2140 NC_005071.1_2515 NC_005071.1_861 NC_005071.1_1000 NC_005071.1_641 NC_005071.1_1547 NC_005071.1_656 NC_005071.1_1802 NC_005071.1_2243 NC_005071.1_868 
NC_005071.1_913 NC_005071.1_2329 NC_005071.1_916 NC_005071.1_923 NC_005071.1_1094 NC_005071.1_1098 NC_005071.1_1844 NC_005071.1_1064 NC_005071.1_910 NC_005071.1_268 NC_005071.1_991 NC_005071.1_919 
NC_005071.1_96 NC_005071.1_81 NC_005071.1_1119 NC_005071.1_2425 NC_005071.1_1118 NC_005071.1_2423 NC_005071.1_2183 NC_005071.1_1251 NC_005071.1_1372 NC_005071.1_900 NC_005071.1_729 
NC_005071.1_152 NC_005071.1_2244 NC_005071.1_2250 NC_005071.1_1140 NC_005071.1_2301 NC_005071.1_886 NC_005071.1_1549 NC_005071.1_1273 
NC_005071.1_1455 NC_005071.1_2506 NC_005071.1_2537 NC_005071.1_133 NC_005071.1_1239 NC_005071.1_389 NC_005071.1_508 
NC_005071.1_1111 NC_005071.1_1168 NC_005071.1_1093 NC_005071.1_1097 NC_005071.1_1102 NC_005071.1_1125 NC_005071.1_987 
NC_005071.1_1041 NC_005071.1_1050 NC_005071.1_262 NC_005071.1_2400 NC_005071.1_271 NC_005071.1_2401 NC_005071.1_2402 
NC_005071.1_335 NC_005071.1_334 NC_005071.1_339 NC_005071.1_534 NC_005071.1_1066 NC_005071.1_1939 
NC_005071.1_1767 NC_005071.1_625 NC_005071.1_371 NC_005071.1_695 NC_005071.1_2092 
NC_005071.1_749 NC_005071.1_425 NC_005071.1_835 NC_005071.1_2045 
NC_005071.1_2233 NC_005071.1_1143 NC_005071.1_318 NC_005071.1_882 
NC_005071.1_966 NC_005071.1_1399 NC_005071.1_532 NC_005071.1_1429 
NC_005071.1_65 NC_005071.1_356 NC_005071.1_355 NC_005071.1_748 
NC_005071.1_833 NC_005071.1_1162 NC_005071.1_1855 NC_005071.1_435 
NC_005071.1_2356 NC_005071.1_501 NC_005071.1_1232 
NC_005071.1_2563 NC_005071.1_2353 NC_005071.1_1238 
NC_005071.1_1359 NC_005071.1_551 NC_005071.1_1210 
NC_005071.1_1835 NC_005071.1_793 NC_005071.1_2303 
NC_005071.1_1800 NC_005071.1_1801 NC_005071.1_657 
NC_005071.1_1870 NC_005071.1_1722 NC_005071.1_1368 
NC_005071.1_23 NC_005071.1_1759 NC_005071.1_778 
NC_005071.1_385 NC_005071.1_1045 NC_005071.1_1585 
NC_005071.1_1743 NC_005071.1_467 NC_005071.1_1358 
NC_005071.1_1354 NC_005071.1_2195 NC_005071.1_134 
NC_005071.1_2300 NC_005071.1_2380 NC_005071.1_1288 
NC_005071.1_103 NC_005071.1_306 NC_005071.1_578 
NC_005071.1_15 NC_005071.1_2259 NC_005071.1_1253 
NC_005071.1_2407 NC_005071.1_261 NC_005071.1_1701 
NC_005071.1_926 NC_005071.1_914 NC_005071.1_917 
NC_005071.1_312 NC_005071.1_337 NC_005071.1_978 
NC_005071.1_2392 NC_005071.1_1044 NC_005071.1_1053 
NC_005071.1_272 NC_005071.1_1042 NC_005071.1_1051 
NC_005071.1_1092 NC_005071.1_1096 NC_005071.1_1101 
NC_005071.1_2052 NC_005071.1_1217 NC_005071.1_1215 
NC_005071.1_1661 NC_005071.1_1049 NC_005071.1_2331 
NC_005071.1_1849 NC_005071.1_135 
NC_005071.1_2036 NC_005071.1_2542 
NC_005071.1_1300 NC_005071.1_6 
NC_005071.1_2016 NC_005071.1_2015 
NC_005071.1_2138 NC_005071.1_1310 
NC_005071.1_2058 NC_005071.1_2057 
NC_005071.1_777 NC_005071.1_2547 
NC_005071.1_1751 NC_005071.1_1868 
NC_005071.1_2426 NC_005071.1_2435 
NC_005071.1_2448 NC_005071.1_2447 
NC_005071.1_1526 NC_005071.1_1653 
NC_005071.1_2267 NC_005071.1_477 
NC_005071.1_666 NC_005071.1_1665 
NC_005071.1_1732 NC_005071.1_1733 
NC_005071.1_1222 NC_005071.1_1773 
NC_005071.1_2290 NC_005071.1_2291 
NC_005071.1_1956 NC_005071.1_2512 
NC_005071.1_392 NC_005071.1_12 
NC_005071.1_2223 NC_005071.1_2261 
NC_005071.1_377 NC_005071.1_522 
NC_005071.1_364 NC_005071.1_185 
NC_005071.1_1946 NC_005071.1_2226 
NC_005071.1_856 NC_005071.1_1890 
NC_005071.1_106 NC_005071.1_1485 
NC_005071.1_1953 NC_005071.1_1680 
NC_005071.1_2019 NC_005071.1_1299 
NC_005071.1_1503 NC_005071.1_20 
NC_005071.1_1415 NC_005071.1_1910 
NC_005071.1_2163 NC_005071.1_2258 
NC_005071.1_2135 NC_005071.1_99 
NC_005071.1_1706 NC_005071.1_1540 
NC_005071.1_859 NC_005071.1_1188 
NC_005071.1_1742 NC_005071.1_947 
NC_005071.1_669 NC_005071.1_45 
NC_005071.1_136 NC_005071.1_1850 
NC_005071.1_1331 NC_005071.1_1755 
NC_005071.1_2344 NC_005071.1_1735 
NC_005071.1_624 NC_005071.1_1467 
NC_005071.1_119 NC_005071.1_2155 
NC_005071.1_2006 NC_005071.1_2320 
NC_005071.1_1840 NC_005071.1_347 
NC_005071.1_91 NC_005071.1_1475 
NC_005071.1_29 NC_005071.1_1146 
NC_005071.1_672 NC_005071.1_671 
NC_005071.1_2405 NC_005071.1_258 
NC_005071.1_1001 NC_005071.1_1004 
NC_005071.1_1139 NC_005071.1_565 
NC_005071.1_246 NC_005071.1_2232 
NC_005071.1_596 NC_005071.1_1520 
NC_005071.1_2273 NC_005071.1_413 
NC_005071.1_1247 NC_005071.1_2021 
NC_005071.1_742 NC_005071.1_766 
NC_005071.1_1296 NC_005071.1_765 
NC_005071.1_2456 NC_005071.1_2458 
NC_005071.1_1524 NC_005071.1_1410 
NC_005071.1_2526 NC_005071.1_1515 
NC_005071.1_558 NC_005071.1_553 
NC_005071.1_1178 NC_005071.1_237 
NC_005071.1_2129 NC_005071.1_417 
NC_005071.1_738 NC_005071.1_471 
NC_005071.1_1240 NC_005071.1_1348 
NC_005071.1_547 NC_005071.1_1609 
NC_005071.1_1832 NC_005071.1_2363 
NC_005071.1_1171 NC_005071.1_216 
NC_005071.1_1425 NC_005071.1_2080 
NC_005071.1_102 NC_005071.1_1304 
NC_005071.1_979 NC_005071.1_336 
NC_005071.1_1457 NC_005071.1_453 
NC_005071.1_2123 NC_005071.1_1388 
NC_005071.1_1833 NC_005071.1_432 
NC_005071.1_333 NC_005071.1_1942 
NC_005071.1_1458 NC_005071.1_1440 
NC_005071.1_555 NC_005071.1_550 
NC_005071.1_1095 NC_005071.1_1100 
NC_005071.1_17 NC_005071.1_1815 
NC_005071.1_706 NC_005071.1_1150 
NC_005071.1_1193 NC_005071.1_168 
NC_005071.1_129 NC_005071.1_130 
NC_005071.1_1746 NC_005071.1_1747 
NC_005071.1_2053 NC_005071.1_838 
NC_005071.1_514 NC_005071.1_567 
NC_005071.1_516 NC_005071.1_1536 
NC_005071.1_1465 NC_005071.1_1763 
NC_005071.1_1729 NC_005071.1_1730 
NC_005071.1_2479 NC_005071.1_1630 
NC_005071.1_1818 NC_005071.1_754 
NC_005071.1_843 NC_005071.1_844 
NC_005071.1_1033 NC_005071.1_992 
NC_005071.1_1137 NC_005071.1_705 
NC_005071.1_1387 NC_005071.1_1379 
NC_005071.1_1134 NC_005071.1_924 
NC_005071.1_1643 NC_005071.1_1012 
NC_005071.1_1159 NC_005071.1_211 
NC_005071.1_998 NC_005071.1_1109 
NC_005071.1_1070 NC_005071.1_1083 
NC_005071.1_1382 NC_005071.1_1381 
NC_005071.1_2330 NC_005071.1_922 
NC_005071.1_874 NC_005071.1_943 
NC_005071.1_1885 NC_005071.1_194 
